Date,Holiday
1/1/2019,New Years Day
1/21/2019,"Martin Luther King, Jr. Day"
2/18/2019,Washington's Birthday
4/19/2019,Good Friday
5/27/2019,Memorial Day
7/4/2019,Independence Day
9/2/2019,Labor Day
11/28/2019,Thanksgiving Day
5/25/2019,Christmas
1/1/2020,New Years Day
1/20/2020,"Martin Luther King, Jr. Day"
2/17/2020,Washington's Birthday
4/10/2020,Good Friday
5/25/2020,Memorial Day
7/3/2020,Independence Day
9/7/2020,Labor Day
11/26/2020,Thanksgiving Day
12/25/2020,Christmas
1/1/2021,New Years Day
1/18/2021,"Martin Luther King, Jr. Day"
2/15/2021,Washington's Birthday
4/2/2021,Good Friday
5/31/2021,Memorial Day
7/5/2021,Independence Day
9/6/2021,Labor Day
11/25/2021,Thanksgiving Day
12/24/2021,Christmas
